Site,Manufacturer,Year,Processor,Accelerator/Co-Processor,Cores per Socket,Total Cores,Accelerator/Co-Processor Cores
Exploration & Production - Eni S.p.A.,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,24000,0
EDF R&D,IBM,2013,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,18144,0
National Center for Medium Range Weather Forecast,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,16832,0
University of Southampton,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,12000,0
Maui High-Performance Computing Center (MHPCC),IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,12096,0
Saudi Aramco,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,24336,0
Geoscience,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,12096,0
Technische Universitaet Darmstadt,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,12288,0
Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,2013,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,65320,0
Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,2013,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,15840,9240
"GSIC Center, Tokyo Institute of Technology",NEC,2013,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K80,6,4872,4368
"GSIC Center, Tokyo Institute of Technology",NEC/HP,2013,Xeon X5670 6C 2.93GHz,NVIDIA Tesla K20x,6,76032,59136
Center for Development of Advanced Computing (C-DAC),Netweb Technologies,2013,Xeon E5-2670 8C 2.6GHz,Intel Xeon Phi 5110P,8,30056,26520
National Super Computer Center in Guangzhou,NUDT,2013,Intel Xeon E5-2692v2 12C 2.2GHz,Intel Xeon Phi 31S1P,12,3120000,2736000
Amazon Web Services,Self-made,2013,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,26496,0
Total Exploration Production,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,110400,0
Air Force Research Laboratory,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,18432,0
TOTAL,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,13824,0
T-Systems,SGI,2013,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,13440,0
Internet Company B,Sugon,2013,Xeon E5-2620 6C 2GHz,None,6,38400,0
Internet Company,Sugon,2013,Xeon E5-2407 4C 2.2GHz,None,4,28800,0
GSI Helmholtz Center,"AMD, ASUS, FIAS, GSI",2014,Intel Xeon E5-2690v2 10C 3GHz,AMD FirePro S9150,10,10976,9856
DOE/Knolls Atomic Power Laboratory,Atipa Technology,2014,Xeon E5-2680v3 12C 2.5GHz,None,12,12768,0
Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Bull, Atos Group",2014,Xeon E5-2690v3 12C 2.6GHz,None,12,50544,0
Meteo France,"Bull, Atos Group",2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,23760,0
CALMIP / University of Toulouse,"Bull, Atos Group",2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,12240,0
"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull, Atos Group",2014,Xeon E5-2450 8C 2.1GHz,Intel Xeon Phi 5110P,8,24480,21600
Vienna Scientific Cluster,ClusterVision,2014,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,32768,0
Government,Cray Inc.,2014,Intel Xeon E5-2660v2 10C 2.2GHz,NVIDIA Tesla K40,10,72800,62400
Government,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,225984,0
Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray Inc.,2014,Xeon E5-2698v3 16C 2.3GHz,None,16,100064,0
DOE/SC/LBNL/NERSC,Cray Inc.,2014,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,133824,0
EPSRC/University of Edinburgh,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,118080,0
ECMWF,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,83160,0
ECMWF,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,83160,0
KTH - Royal Institute of Technology,Cray Inc.,2014,Xeon E5-2698v3 16C 2.3GHz,None,16,53632,0
CSC (Center for Scientific Computing),Cray Inc.,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,40608,0
"Pawsey Supercomputing Centre, Kensington, Western Australia",Cray Inc.,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,35712,0
HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Cray Inc.,2014,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,44928,0
Air Force Research Laboratory,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,56112,0
Swiss National Supercomputing Centre (CSCS),Cray Inc.,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,30240,0
HLRN at Universitaet Hannover / RRZN,Cray Inc.,2014,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,40320,0
National Astronomical Observatory of Japan,Cray Inc.,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,25440,0
"Center for Computational Sciences, University of Tsukuba",Cray Inc.,2014,Intel Xeon E5-2670v2  10C 2.5GHz,Intel Xeon Phi 7110P,10,55664,47824
Navy DSRC,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,Intel Xeon Phi 5120D,12,38608,7564
Navy DSRC,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,Xeon Phi 5120D/Nvidia K40,12,41196,10444
Mississippi State University,Cray Inc.,2014,Intel Xeon E5-2680v2  10C 2.8GHz,Intel Xeon Phi 5110P,10,33600,28800
Deutscher Wetterdienst,Cray Inc.,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,17648,0
"Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,2014,Intel Xeon E5-2670v2  10C 2.5GHz,Intel Xeon Phi 5120D,10,33600,28800
Korea Meteorological Administration,Cray Inc.,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,10752,0
"Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,2014,Xeon E5-2695v3 14C 2.3GHz,None,14,11648,0
Louisiana Optical Network Initiative,Dell,2014,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,23040,13440
Louisiana State University,Dell,2014,Intel Xeon E5-2680v2  10C 2.8GHz,Intel Xeon Phi 7120P,10,45866,39406
Tulane University,Dell,2014,Intel Xeon E5-2680v2  10C 2.8GHz,Intel Xeon Phi 7120P,10,17608,15128
Saudi Aramco,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,40960,0
Airbus,Hewlett-Packard,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,34560,0
IT Provider (P),Hewlett-Packard,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,26688,0
IT Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,33280,0
Center for Biological Sequence Analysis - DTU,Hewlett-Packard,2014,Xeon E5-2683v3 14C 2GHz,None,14,15120,0
Airbus,Hewlett-Packard,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,21120,0
Aerospace Company (E),Hewlett-Packard,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,21240,0
IT Service Provider,Hewlett-Packard,2014,Xeon E5-2640 6C 2.5GHz,None,6,28608,0
IT Service Provider,Hewlett-Packard,2014,Xeon E5-2670 8C 2.6GHz,None,8,26096,0
Hewlett-Packard,Hewlett-Packard,2014,Opteron 6376 16C 2.3GHz,None,16,64128,0
IT Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,18660,0
CSC (Center for Scientific Computing),Hewlett-Packard,2014,Xeon E5-2690v3 12C 2.6GHz,None,12,9528,0
Heavy Industry Company,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,16080,0
Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2690v2 10C 3GHz,None,10,17920,0
Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2690v2 10C 3GHz,None,10,17920,0
IT Service Provider,Hewlett-Packard,2014,Xeon E5-2640 6C 2.5GHz,None,6,21432,0
Web-Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,20400,0
Network Company,Hewlett-Packard,2014,Intel Xeon E5-2673v2 8C 3.3GHz,None,8,19712,0
Network Company,Hewlett-Packard,2014,Intel Xeon E5-2673v2 8C 3.3GHz,None,8,14720,0
Retail,Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,19584,0
Manufacturing Company,Hewlett-Packard,2014,Intel Xeon E5-2637v2 4C 3.5GHz,None,4,21016,0
IT Provider,Hewlett-Packard,2014,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,17920,0
Mobile Network Provider,Hewlett-Packard,2014,Xeon E5-2670 8C 2.6GHz,None,8,19968,0
National Information Infrastructure Development,Hewlett-Packard,2014,Intel Xeon E5-2650v2  8C 2.6GHz,NVIDIA Tesla K20x,8,4890,3546
IT Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,17440,0
Retail,Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,17600,0
IT Service Provider,Hewlett-Packard,2014,Xeon E3-1280v3 4C 3.6GHz,None,4,16200,0
ETH Zuerich,Hewlett-Packard,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,17664,0
Geoscience (P),Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,12800,0
Electronic Industry,Hewlett-Packard,2014,Intel Xeon E5-2690v2 10C 3GHz,None,10,14120,0
Petroleum Company,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,14700,0
IT Service Provider,Hewlett-Packard,2014,Xeon E5-2660 8C 2.2GHz,None,8,18816,0
Telecommunication Company,Hewlett-Packard,2014,Xeon E5-2670 8C 2.6GHz,None,8,16288,0
Service Provider,Hewlett-Packard,2014,Intel Xeon E5-2690v2 10C 3GHz,None,10,13440,0
IT Services Provider ,Hewlett-Packard,2014,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,15080,0
Hewlett-Packard,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,10240,0
Insurance Company,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,15000,0
IT Service Provider (D),Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,15360,0
Retail,Hewlett-Packard,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,15360,0
Insurance Company,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,14760,0
Automotive Company,Hewlett-Packard,2014,Xeon E5-2670 8C 2.6GHz,None,8,12288,0
Petroleum Company,Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,13300,0
IT Provider (P),Hewlett-Packard,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,11200,0
Exploration & Production - Eni S.p.A.,IBM,2014,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,72000,42000
EDF R&D,IBM,2014,Xeon E5-2697v3 14C 2.6GHz,None,14,16100,0
China Meteorological Administration,IBM,2014,POWER7  8C 3.55GHz,None,8,17920,0
China Meteorological Administration,IBM,2014,POWER7  8C 3.55GHz,None,8,17920,0
China Meteorological Administration,IBM,2014,POWER7  8C 3.55GHz,None,8,13664,0
Science and Technology Facilities Council - Daresbury Laboratory,IBM,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,11520,0
Government,IBM,2014,Xeon E5-2670 8C 2.6GHz,None,8,11328,0
Government,IBM,2014,Xeon E5-2670 8C 2.6GHz,None,8,11328,0
Texas A&M University,IBM/Lenovo,2014,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,16820,0
Electronics,IBM/Lenovo,2014,Xeon E5-2680 8C 2.7GHz,None,8,13696,0
Technische Universitaet Darmstadt,IBM/Lenovo,2014,Xeon E5-2680v3 12C 2.5GHz,None,12,9312,0
Universitaet Ulm,NEC,2014,Xeon E5-2630v3 8C 2.4GHz,None,8,7104,0
Lobachevsky State University of Nizhni Novgorod,"Niagara Computers, Supermicro",2014,Intel Xeon E5-2660v2 10C 2.2GHz,NVIDIA Tesla K20,10,5310,3510
LvLiang Cloud Computing Center,NUDT,2014,Intel Xeon E5-2692v2 12C 2.2GHz,Intel Xeon Phi 31S1P,12,174720,153216
High Energy Accelerator Research Organization /KEK,PEZY Computing / Exascaler Inc.,2014,Intel Xeon E5-2660v2 10C 2.2GHz,PEZY-SC,10,262784,262144
St. Petersburg Polytechnic University,RSC Group,2014,Xeon E5-2697v3 14C 2.6GHz,None,14,19936,0
NASA/Goddard Space Flight Center,SGI,2014,Xeon E5-2697v3 14C 2.6GHz,None,14,31248,0
AWE,SGI,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,44520,0
AWE,SGI,2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,35640,0
Idaho National Laboratory,SGI,2014,Xeon E5-2680v3 12C 2.5GHz,None,12,16416,0
SENAI CIMATEC,SGI,2014,Intel Xeon E5-2690v2 10C 3GHz,None,10,17200,0
Internet Company S,Sugon,2014,Intel Xeon E5-2420v2 6C 2.2GHz,None,6,33600,0
Government,Sugon,2014,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,25600,0
Internet Company,Sugon,2014,Intel Xeon E5-2609V2 4C 2.5GHz,None,4,24480,0
Tulip Trading,Supermicro/SGI,2014,Intel Xeon E5-2695v2 12C 2.4GHz,NVIDIA M2090/Intel Xeon Phi 7120P,12,265440,170976
Moscow State University - Research Computing Center,T-Platforms,2014,Xeon E5-2697v3 14C 2.6GHz,NVIDIA Tesla K40m,14,37120,19200
Wroclaw Centre for Networking and Supercomputing,ACTION,2015,Xeon E5-2670v3 12C 2.3GHz,None,12,22656,0
DOE/Bettis Atomic Power Laboratory,Atipa Technology,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,12768,0
DKRZ - Deutsches Klimarechenzentrum,"Bull, Atos Group",2015,Xeon E5-2680v3 12C 2.5GHz,None,12,37344,0
SURFsara,"Bull, Atos Group",2015,Xeon E5-2690v3 12C 2.6GHz,None,12,38880,0
