Site,Manufacturer,Year,Processor,Accelerator/Co-Processor,Cores per Socket,Total Cores,Accelerator/Co-Processor Cores
Energy Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,14496,0
Hosting Company,Hewlett-Packard,2015,Xeon E5-2630v3 8C 2.4GHz,None,8,20720,0
University of Minnesota/Supercomputing Institute,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,15360,0
Web Company (F),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,13920,0
WETA Digital,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,19200,0
Hosting Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,23232,0
IT Provider (P),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,14448,0
Manufacturing,Hewlett-Packard,2015,Xeon E5-2667v3 8C 3.2GHz,None,8,16096,0
Software Company,Hewlett-Packard,2015,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,37800,0
Automotive,Hewlett-Packard,2015,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,28800,0
Purdue University,Hewlett-Packard,2015,Xeon E5-2660v3 10C 2.6GHz,None,10,13200,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,28320,0
"University of Tokyo/Human Genome Center, Institute of Medical Science",Hewlett-Packard,2015,Xeon E5-2670v3 12C 2.3GHz,Intel Xeon Phi 7120P,12,12408,1464
Energy Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K80,12,8360,5720
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,26624,0
Telecommunication Company,Hewlett-Packard,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,11904,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,24320,0
Automative Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,9600,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650Lv2 10C 1.7GHz,None,10,33120,0
Financial Institution (P),Hewlett-Packard,2015,Xeon E5-2683v3 14C 2GHz,None,14,11480,0
IT Provider (P),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,9120,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,23040,0
Energy Company (D),Hewlett-Packard,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13056,0
Energy Company (D),Hewlett-Packard,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13056,0
Energy Company (D),Hewlett-Packard,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13056,0
Energy Company (D),Hewlett-Packard,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13056,0
Energy Company (D),Hewlett-Packard,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13056,0
Manufacturing,Hewlett-Packard,2015,Intel Xeon E5-2667v2 8C 3.3GHz,None,8,20992,0
Hosting Company,Hewlett-Packard,2015,Xeon E5-2630v3 8C 2.4GHz,None,8,11536,0
 Institute of Information and Communication Technologies at the Bulgarian Academy of Sciences,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,Intel Xeon Phi 7120P,8,20700,18300
Software Company,Hewlett-Packard,2015,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,21000,0
Manufacturing Company,Hewlett-Packard,2015,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,13152,0
Software Company,Hewlett-Packard,2015,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,20400,0
Automative Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,7296,0
Automative Company,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,7200,0
Automotive Company (),Hewlett-Packard,2015,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,12288,0
Petroleum Company,Hewlett-Packard,2015,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,14000,0
Procter and Gamble,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,7680,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,29568,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,16128,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,11540,0
Bank (J),Hewlett-Packard,2015,Xeon E5-2643v3 6C 3.4GHz,None,6,5952,0
Financial Institution,Hewlett-Packard,2015,Xeon E5-2683v3 14C 2GHz,None,14,10080,0
PCSS Poznan,Huawei Technology Company Ltd.,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,32984,0
Internet Company,Huawei Technology Company Ltd.,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,49440,0
CINECA,IBM/Lenovo,2015,Xeon E5-2630v3 8C 2.4GHz,Intel Xeon Phi 7120P,8,50232,44408
Internet Service A,Inspur,2015,Intel Xeon E5-2650v2  8C 2.6GHz,NVIDIA Tesla K40,8,15640,10200
Internet Service,Inspur,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,10800,9000
Internet Service,Inspur,2015,Xeon E5-2650v3 10C 2GHz,None,10,36000,0
Internet Company,Inspur,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,30720,0
Internet Service,Inspur,2015,Xeon E5-2650v3 10C 2GHz,None,10,30000,0
Internet Company,Inspur,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,28800,0
Internet Service,Inspur,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,7200,6000
Internet Service,Inspur,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,7200,6000
Internet Service,Inspur,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,7200,6000
Internet Service,Inspur,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,7200,6000
Internet Company,Inspur,2015,Xeon E5-2698v3 16C 2.3GHz,None,16,20480,0
Internet Service,Inspur,2015,Xeon E5-2650v3 10C 2GHz,None,10,20000,0
Internet Service A,Inspur,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,20640,0
Internet Service,Inspur,2015,Xeon E5-2650v3 10C 2GHz,None,10,17920,0
IT Company,Inspur,2015,Xeon E5-2620v3 6C 2.4GHz,NVIDIA Tesla K40,6,3744,3120
Internet Company,Lenovo,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,84000,0
Internet Company,Lenovo,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,84000,0
Internet Service,Lenovo,2015,Xeon E5-2650v3 10C 2GHz,None,10,100000,0
Service Provider,Lenovo,2015,Xeon E5-2670v3 12C 2.3GHz,None,12,108000,0
Service Provider,Lenovo,2015,Xeon E5-2660v3 10C 2.6GHz,None,10,90000,0
Service Provider,Lenovo,2015,Xeon E5-2660v3 10C 2.6GHz,None,10,90000,0
Internet Company,Lenovo,2015,Xeon E5-2650v3 10C 2GHz,None,10,70000,0
Internet Company,Lenovo,2015,Xeon E5-2650v3 10C 2GHz,None,10,70000,0
Internet Company,Lenovo,2015,Xeon E5-2650v3 10C 2GHz,None,10,70000,0
Internet Service,Lenovo,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,60000,0
China Telecom,Lenovo,2015,Intel Xeon E5-2660v2 10C 2.2GHz,None,10,81000,0
China Unicom,Lenovo,2015,Intel Xeon E5-2660v2 10C 2.2GHz,None,10,78000,0
China Mobile,Lenovo,2015,Intel Xeon E5-2660v2 10C 2.2GHz,None,10,75000,0
China Mobile,Lenovo,2015,Intel Xeon E5-2660v2 10C 2.2GHz,None,10,75000,0
China Mobile,Lenovo,2015,Intel Xeon E5-2660v2 10C 2.2GHz,None,10,75000,0
Service Provider,Lenovo,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,54000,0
Service Provider,Lenovo,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,54000,0
UCWeb,Lenovo,2015,Xeon E5-2620v3 6C 2.4GHz,None,6,42000,0
Internet Service,Lenovo,2015,Intel Xeon E5-2637v2 4C 3.5GHz,None,4,40000,0
Internet Service,Lenovo,2015,Intel Xeon E5-2637v2 4C 3.5GHz,None,4,40000,0
University of Southern Denmark,Lenovo,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K40,12,11568,2160
China National Petroleum Corporation,Lenovo,2015,Xeon E7-4820V2 8C 2GHz,None,8,28800,0
China National Petroleum Corporation,Lenovo,2015,Xeon E7-4820V2 8C 2GHz,None,8,28800,0
Internet Service,Lenovo,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,60000,0
Peking Univeristy,Lenovo,2015,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,14040,0
Leibniz Rechenzentrum,Lenovo/IBM,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,86016,0
Leibniz Rechenzentrum,Lenovo/IBM,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,11200,0
Potsdam Institute for Climate Impact Research,Lenovo/IBM,2015,Xeon E5-2667v3 8C 3.2GHz,None,8,5040,0
Academic Computer Centre in Gdansk,Megatel/Action,2015,Xeon E5-2670v3 12C 2.3GHz,None,12,17280,0
University Heidelberg and University Mannheim,MEGWARE,2015,Xeon E5-2630v3 8C 2.4GHz,None,8,9792,0
University Heidelberg and University Mannheim,MEGWARE,2015,Xeon E5-2630v3 8C 2.4GHz,None,8,7552,0
University of Wyoming - Advanced Research Computing Center,Penguin Computing,2015,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,4560,3360
Institute of Physical and Chemical Research (RIKEN),PEZY Computing / Exascaler Inc.,2015,Xeon E5-2618Lv3  8C 2.3GHz,PEZY-SC,8,1181952,1179648
ERDC DSRC,SGI,2015,Xeon E5-2699v3 18C 2.3GHz,None,18,124200,0
Air Force Research Laboratory,SGI,2015,Xeon E5-2699v3 18C 2.3GHz,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,152692,27056
Japan Atomic Energy Agency (JAEA),SGI,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,60240,0
"IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",SGI,2015,Xeon E5-2680v3 12C 2.5GHz,Intel Xeon Phi 7120P,12,76896,52704
University of Tokyo/Institute for Solid State Physics,SGI,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,38016,0
University of Tokyo/Institute for Solid State Physics,SGI,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K40,12,15552,8640
National Institute for Materials Science,SGI,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,25056,0
NASA/Goddard Space Flight Center,SGI,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,17136,0
NASA/Goddard Space Flight Center,SGI,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,17136,0
SGI,SGI,2015,Xeon E5-2690v3 12C 2.6GHz,None,12,13824,0
Honeywell Aerospace,SGI,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,12096,0
The Institute of Statistical Mathematics,SGI,2015,Intel Xeon E5-2697v2 12C 2.7GHz,Intel Xeon Phi 5120D,12,18624,5760
CINVESTAV,SGI,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,8820,0
"LASG/Institute of Atmospheric Physics, CAS",Sugon,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,24912,0
Internet Company,Sugon,2015,Intel Xeon E5-2450v2 8C 2.5GHz,None,8,52800,0
Internet Company B,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,54000,0
Government,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,43200,0
Internet Company M,Sugon,2015,Intel Xeon E5-2450v2 8C 2.5GHz,None,8,44800,0
Internet Company,Sugon,2015,Intel Xeon E5-2450v2 8C 2.5GHz,None,8,42240,0
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,50400,0
Government,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,39600,0
Government,Sugon,2015,Xeon E5-2640v3 8C 2.6GHz,NVIDIA Tesla K20,8,10200,7800
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,47040,0
Electricity Company,Sugon,2015,Opteron 6344 12C 2.6GHz,None,12,252000,0
Government,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,36000,0
Telecommunications Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,153000,0
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,43200,0
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,43200,0
Internet Company B,Sugon,2015,Intel Xeon E5-2609V2 4C 2.5GHz,None,4,120000,0
Internet Company W,Sugon,2015,Intel Xeon E5-2609V2 4C 2.5GHz,None,4,120000,0
Electricity Company,Sugon,2015,Xeon E7-4830V2 10C 2.2GHz,None,10,40320,0
Electricity Company,Sugon,2015,Intel Xeon E5-2640v2 8C 2GHz,None,8,43200,0
Internet Company,Sugon,2015,Intel Xeon E5-2609V2 4C 2.5GHz,None,4,110000,0
Telecommunications Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,134400,0
Government,Sugon,2015,Xeon E7-4830V2 10C 2.2GHz,None,10,132000,0
Government,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,32400,0
Internet Company,Sugon,2015,Intel Xeon E5-2420v2 6C 2.2GHz,None,6,43200,0
Telecommunications Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,135000,0
Government,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,31680,0
"Computer Network Information Center, Chinese Academy of Science",Sugon,2015,Xeon E5-2680v3 12C 2.5GHz,Intel Xeon Phi 5110P,12,81360,6620
Electricity Company,Sugon,2015,Opteron 6344 12C 2.6GHz,None,12,216000,0
Internet Company B,Sugon,2015,Intel Xeon E5-2609V2 4C 2.5GHz,None,4,108000,0
Internet Company S,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,105000,0
Internet Company B,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,None,6,126000,0
Internet Company,Sugon,2015,Intel Xeon E5-2630v2 6C 2.6GHz,None,6,99000,0
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K40,6,6912,5760
State Grid Corp,Sugon,2015,Xeon E7-4830 8C 2.13GHz,None,8,38400,0
China Mobile,Sugon,2015,Opteron 6376 16C 2.3GHz,None,16,67840,0
Agricultural Bank of China (ABC) Shandong,Sugon,2015,Opteron 6348 12C 2.8GHz,None,12,56160,0
"Institute of Modern Physics (IMP), Chinese Academy of Sciences",Sugon,2015,Xeon E5-2640v3 8C 2.6GHz,NVIDIA Tesla K80,8,6944,6448
Shanghai Supercomputer Center,Sugon,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,9960,0
Internet Company,Sugon,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K20,6,6144,4992
Internet Company,Sugon,2015,Xeon E5-2407 4C 2.2GHz,None,4,28800,0
China Mobile,Sugon,2015,Opteron 6344 12C 2.6GHz,None,12,43200,0
Dalian University of Technology,Sugon,2015,Xeon E5-2660v3 10C 2.6GHz,NVIDIA Tesla K40,10,6400,960
Northeastern University,Sugon,2015,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,12000,0
Okinawa Institute of Science and Technology,Supermicro,2015,Xeon E5-2680v3 12C 2.5GHz,Intel Xeon Phi 7120P,12,10512,732
"National Research Centre ""Kurchatov Institute""",SuperMicro/Mellanox,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K80,12,11082,1794
 Max-Planck Institute for biophysical Chemistry,sysGen,2015,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K20,6,4080,3120
Forschungszentrum Juelich (FZJ),T-Platforms,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K80,12,49476,4260
